pull,timestamp,windows,risk_mean,risks,attack_ratio
253,00:01:54,240,0.536,0.58;0.52;0.54;0.52;0.52,0.24166666666666667
254,00:02:47,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
255,00:04:59,336,0.132,0.14;0.14;0.10;0.14;0.14,0.020833333333333332
256,00:05:55,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
257,00:07:34,328,0.052000000000000005,0.06;0.04;0.06;0.04;0.06,0.009146341463414634
258,00:08:58,12,0.9879999999999999,0.98;0.98;1.00;0.98;1.00,0.9166666666666666
259,00:10:33,424,0.124,0.14;0.10;0.14;0.10;0.14,0.007075471698113208
260,00:11:16,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
261,00:12:35,22,0.604,0.48;0.62;0.56;0.72;0.64,0.5909090909090909
262,00:13:52,409,0.24,0.24;0.24;0.24;0.24;0.24,0.007334963325183374
263,00:14:42,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
264,00:15:35,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
265,00:16:24,6,0.552,0.62;0.56;0.52;0.52;0.54,0.6666666666666666
266,00:40:04,3,0.0,0.00;0.00;0.00;0.00;0.00,1.0
267,05:16:08,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
268,06:37:06,328,0.1,0.10;0.10;0.10;0.10;0.10,0.009146341463414634
269,06:37:40,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
0,07:49:10,265,0.496,0.42;0.48;0.50;0.54;0.54,0.2
0,07:50:15,265,0.508,0.36;0.50;0.56;0.56;0.56,0.2
0,07:51:03,265,0.532,0.48;0.50;0.56;0.56;0.56,0.2
